Geneid	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/188_F_CB2YGANXX_TTAGGC_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/179_F_CB2YGANXX_ATCACG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/192_F_CB2YGANXX_ACAGTG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/190_F_CB2YGANXX_TGACCA_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/187_F_CB2YGANXX_CGATGT_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/194_F_CB2YGANXX_GCCAAT_L001Aligned.sortedByCoord.out.bam
ENSRNOG00000056441	1	0	0	0	0	0
ENSRNOG00000016337	5	6	6	2	6	3
ENSRNOG00000016625	9	4	4	5	3	6
ENSRNOG00000053944	84	43	17	52	88	174
ENSRNOG00000022946	15	14	39	50	12	33
ENSRNOG00000017223	12	8	12	7	6	2
ENSRNOG00000017412	96	267	201	938	805	869
ENSRNOG00000017419	132	245	446	518	297	588
ENSRNOG00000059864	0	0	1	1	0	0
ENSRNOG00000055981	0	1	0	1	0	1
ENSRNOG00000017731	92	126	141	117	119	148
ENSRNOG00000054620	1	3	2	3	6	2
ENSRNOG00000055141	1	0	1	0	0	0
ENSRNOG00000055547	11	20	18	25	41	22
ENSRNOG00000044833	9	0	0	2	0	0
ENSRNOG00000048297	26	55	116	76	64	126
ENSRNOG00000060475	12	4	5	14	9	9
ENSRNOG00000017367	17	1	16	5	0	1
ENSRNOG00000049044	0	0	0	0	0	0
ENSRNOG00000011243	7	5	4	0	0	0
ENSRNOG00000011310	35	29	22	18	33	21
ENSRNOG00000012229	7	1	2	3	0	1
ENSRNOG00000024172	4	5	4	1	0	1
